Genehmigung des Protokolls der vorangegangenen Sitzung	Adoption of the Minutes of the previous sitting
Ein großer Teil des tadschikischen Volks lebt im Nordosten Afghanistans, dem Gebiet, das nicht von den Taliban beherrscht wird.	Mr President, the political tide in Tajikistan seems to be turning.
Der Norden Tadschikistans erstreckt sich bis in das dichtbevölkerte Ferganabecken, das teilweise in Usbekistan liegt und mit der Wirtschaft und den Verkehrsverbindungen dieses Nachbarlandes eng verzahnt ist.	Only last week, President Ragmanov called for parliamentary elections to be held next spring.
Als Frontgebiet zwischen dem russischen Einflußbereich und dem islamischen Fundamentalismus in Afghanistan hat der heutige Staat Tadschikistan kaum Überlebenschancen.	After months of tug-of-war between the government and the opposition, agreement has finally been reached regarding the new electoral law.
Der einzige Grund, dennoch Geld in dieses Land zu stecken, besteht darin, daß dies die Chancen des tadschikischen Volks zu überleben erhöht und dadurch bessere Aussichten auf Frieden geboten werden als ohne einen solchen Beitrag.	I should point out, however, that these developments mark only the beginning of the democratisation process.
Deshalb kann meine Fraktion den Vorschlägen im Bericht Savary dennoch zustimmen.	Tajikistan still shows features which are incompatible with a democratic constitutional state.
Herr Präsident, wir werden dem Bericht Savary nicht zustimmen, und zwar sowohl aus Gründen, die mit der Wahl dieses Landes zu tun haben, als auch aus allgemeineren Erwägungen im Zusammenhang mit der Finanzhilfe heraus.	Indeed, the downside of the present positive developments is that during the next elections, a number of parties will remain on the sidelines.
Obwohl wir natürlich nichts gegen den souveränen Staat Tadschikistan haben, meinen wir nicht, daß die europäischen Staaten von Prioritäten oder besser gesagt der Priorität, die sie sich auf dem Gebiet der Entwicklungspolitik seit langem gesetzt haben, abrücken sollten.	They are excluded from participating.
Diese Priorität wurde vor mehr als einem Vierteljahrhundert durch die Lomé­Abkommen umgesetzt.	This is hardly surprising as permission to participate in elections is still in the hands of former communists.
Aus allgemein bekannten Gründen, die mit der Geographie, aber auch mit der Geschichte zu tun haben, sahen sich die Europäer im Laufe der 70er Jahre der Notwendigkeit gegenüber, eine umfangreiche Aktion der Zusammenarbeit mit den Ländern Afrikas, der Karibik und des Pazifik zu starten.	This remark regarding Tajikistan' s democratic status does not detract from the fact that quite a few changes have already taken place.
Dabei wählten sie eine originelle Form, die unter dem Namen Lomé­Abkommen bekannt wurde, die es unseren Partnern im Süden ermöglichte, für die Lebensmittel, die den Hauptteil ihrer Ressourcen ausmachen, stabile Preise zu erzielen, ohne einem ungebremsten Freihandel ausgesetzt zu sein, von dem man heute nur allzugut weiß, daß er die anfälligsten Wirtschaften ruiniert.	As such, international organisations and bilateral donors no longer see good reason for suspending aid to Tajikistan.
Nun erleben wir, wie unter dem Einfluß nicht der Globalisierung, sondern der globalistischen Ideologie, die die europäischen Nationen ohne näheres Hinsehen akzeptiert haben, die AKP­Abkommen bereits seit mehreren Jahren allmählich demontiert und ihre Grundprinzipien negiert werden und vor allem, daß der Beitrag mehrerer europäischer Länder zum EEF immer geringer wird.	Even the European Commission, with the proposal it is making, seems to think it should put its oar in.
Gleichzeitig nehmen die sogenannten Sonderfinanzhilfen für die verschiedensten Länder der Erde zu, ohne daß ein Gesamtplan erkennbar wäre, so daß unsere Entwicklungshilfe nur noch in einer vagen und breitangelegten Gießkannenaktion besteht, also gar keine Politik mehr ist.	However, the Commission is losing sight of one important factor.
Dieser Überlegung möchte ich noch eine zweite anfügen.	Earlier this year, the three institutions of the European Union concluded the interinstitutional agreement for a period of seven years, stipulating the financial ceilings for the various policy areas.
Wenn Tadschikistan sich heute den im Bericht genannten wirtschaftlichen Schwierigkeiten gegenübersieht, wie übrigens sehr viele Länder auf der Welt, so liegt das zweifellos daran, daß es zum Opfer einer unüberlegten Grenzöffnung und zum Spielball der Weltmächte wurde.	I would like to remind the Commission of this.
Wir sehen unsererseits keine bessere Lösung als die Wiederherstellung einer neuen internationalen Handelsordnung, die die Souveränität der Staaten, das Tempo und die Modalitäten ihrer Entwicklung respektiert, sowie auch ihre Traditionen, die sich nicht wie mit einem Zauberstab wegwischen lassen, nur weil wir Wahlen, Menschenrechte und das, was wir nur allzu übereilt Demokratie nennen, durchgesetzt haben.	In the proposal to grant aid to Tajikistan, this agreement is not given much consideration.
Herr Präsident!	Neither the urgent appeal by the IMF and World Bank to the European Union to increase aid to Tajikistan nor the argument of moral duty in the light of Tajikistan' s debts to the Union are in themselves good enough reasons to grant aid.
Die politische Stimmung in Tadschikistan scheint umzuschlagen.	We are first of all faced with the European Union' s financial limitations.
Noch letzte Woche kündigte Präsident Rachmonow Parlamentswahlen für das nächste Frühjahr an.	The above agreement does not allow for making gifts to Tajikistan.
Nach monatelangem Tauziehen zwischen Regierung und Opposition wurde jetzt endlich eine Übereinkunft über das neue Wahlrecht erzielt.	Moreover, we have recent experiences of entering into financial commitments which we cannot honour, as illustrated in the reconstruction of Kosovo.
Dabei merke ich aber an, daß diese Entwicklung nur den Beginn des Demokratisierungsprozesses kennzeichnet.	The Commission has pledged a sum of EUR 500 million while the Member States do not want to make the necessary increase in the European budget at this stage.
Tadschikistan weist noch immer Merkmale auf, die nicht zu einem demokratischen Rechtsstaat passen.	A vague declaration of intent has since been drafted by the Council to prevent similar problems from occurring in future, but it remains to be seen what will come of this.
Die Kehrseite der heutigen positiven Entwicklungen ist nämlich, daß bei den kommenden Wahlen einige Parteien wiederum an der Seitenlinie stehen werden.	Kosovo is no better off at the moment.
Sie sind von der Teilnahme ausgeschlossen, was nicht verwunderlich ist, denn über die Zulassung zu Wahlen entscheiden noch immer Exkommunisten.	Aid has been reduced to EUR 360 million and also spread over several years.
Diese Randbemerkung zu dem demokratischen Gehalt Tadschikistans ändert nichts daran, daß sich dennoch etwas verändert hat.	This incident has given me grave concerns regarding the Member States' willingness to make concessions once again within the context of aid to Tajikistan, even if only relatively small amounts are involved.
Internationale Organisationen und bilaterale Geber erachten es daher nicht länger als begründet, die Hilfeleistungen für Tadschikistan auszusetzen.	Member States find it hard to sell the idea within their own countries if the outcome of the negotiations at the Berlin Summit are undermined by reality.
Auch die Europäische Kommission meint, mit ihrem Vorschlag ihr Scherflein dazu beitragen zu müssen, übersieht dabei jedoch eine wichtige Tatsache.	Apart from a limited budget, the European Union has little political interest in Tajikistan.
Im Frühjahr dieses Jahres haben die drei Institutionen der Europäischen Union die interinstitutionelle Vereinbarung für einen Zeitraum von sieben Jahren abgeschlossen.	The geographical remoteness makes it impossible to have any real influence on the democratisation process.
Darin werden die finanziellen Obergrenzen für die verschiedenen Politikbereiche angegeben.	Although the European Union has an interest in being surrounded by large, stable regions, the tools it has available in order to achieve this are still very limited.
Daran möchte ich die Kommission heute erinnern.	All this does not mean that we cannot do anything at all for Tajikistan.
In dem Vorschlag für die Finanzhilfe an Tadschikistan findet diese Vereinbarung kaum Berücksichtigung.	On humanitarian grounds, I do agree with special aid as far as the loan component is concerned, but the gift component should be scrapped for the reasons I have outlined above.
Sowohl der eindringliche Appell des IWF und der Weltbank an die Europäische Union, die Hilfe für Tadschikistan aufzustocken, als auch das Argument der moralischen Verpflichtung wegen der Schulden Tadschikistans gegenüber der Union sind an sich keine Gründe für eine solche Finanzhilfe.	I would also like to urge the Commission to ask Tajikistan' s bilateral donors and the Member States to grant special aid to this country on an individual basis.
Wir haben es an erster Stelle mit den finanziellen Beschränkungen der Europäischen Union zu tun.	After all, the scope of the budget of the national Member States is, politically speaking, less of a sensitive issue.
Die erwähnte Vereinbarung bietet keinen Spielraum für Geschenke an Tadschikistan.	Finally, I would like to strongly advise the Commission, out of moral considerations, to resume the projects under TACIS for Tajikistan as soon as possible.
Außerdem haben wir erst vor kurzem im Zusammenhang mit dem Wiederaufbau im Kosovo Erfahrungen mit dem Eingehen von finanziellen Verpflichtungen gemacht, denen wir nicht nachkommen können.	In this respect, we have to monitor the situation closely in order to ensure that the money ends up where it is needed, namely with the Tajikistani population, which is suffering under grinding poverty.
Die Kommission hat 500 Millionen Euro zugesagt, die Mitgliedstaaten wollen vorerst jedoch nicht die dafür benötigte Erhöhung des EU-Haushalts vornehmen.	Mr President, we passed the budget yesterday and the steps that you decided ought to be taken in Category 4 will be very important in terms of Europe' s future.
Mittlerweile liegt zwar eine vage Absichtserklärung des Rats vor, um derartige Probleme künftig zu vermeiden, aber ich muß noch sehen, was daraus wird.	Commissioner, we are today discussing a form of special aid that will serve, in essence, to promote the stabilisation of a part of the world which could cause problems for us too, if we fail to get involved there.
Dem Kosovo ist damit in diesem Moment nicht geholfen.	It is our duty to ensure that in Tajikistan, Armenia and Georgia, greater store is set by democracy, the market economy and security issues in future.
Die Hilfe wurde auf 360 Millionen Euro reduziert und zudem über mehrere Jahre gestreckt.	There was severe hyperinflation in Tajikistan during the civil war and the country' s production output was down by two-thirds.
Insofern bezweifle ich ernsthaft die Bereitschaft der Mitgliedstaaten, im Rahmen der Finanzhilfe für Tadschikistan erneut Konzessionen zu machen, wenngleich es hier um relativ geringe Beträge geht.	One can only imagine what kind of impact this has on family units and individuals living in such a country.
Die Mitgliedstaaten können es zu Hause schlecht verkaufen, wenn ihre Verhandlungsergebnisse beim Berliner Gipfel durch die Wirklichkeit unterlaufen werden.	In 1997 there was economic growth again of an unprecedented 1.7%.
Neben einem begrenzten Haushalt hat die Europäische Union politisch gesehen in Tadschikistan wenig zu suchen.	National economic growth of production output was 5.3%; the starting point being a very low base level of course, as I have already mentioned.
Die weite Entfernung macht einen nachhaltigen Einfluß auf den Demokratisierungsprozeß unmöglich.	In December 1998 inflation fell to below 3%, i.e. it was possible to detect a degree of stabilisation here as well, and in the 1998 financial year the balance of payments including invisible trade rose from 5.5 to at least 15.2% of Gross Domestic Product.
Der Europäischen Union ist zwar an großen stabilen Regionen in ihrer Umgebung gelegen, aber sie verfügt nach wie vor nur über recht begrenzte Instrumente, um das zu erreichen.	The fact that the country has outstanding debts totalling USD 1,263 million, that is to say, 98% of GDP, is, of course, a major problem; it is clear that the situation has been pushed to the limit.
Damit ist nicht gesagt, wir könnten nichts für Tadschikistan tun.	Since Tajikistan is the poorest country amongst the Newly Independent States, it is up to us to combat the poverty in which the children and family units live there, and particularly in the run-up to Christmas, it behoves those of us that live in comfort to think of those that do not enjoy the standard of living that we do today.
Aus humanitären Erwägungen bin ich mit dieser Sonderfinanzhilfe, was die Kreditkomponente betrifft, einverstanden.	I therefore believe that we need to have clearly defined programmes which have certain conditions attached, and of course that usage of these programmes must be founded on existing legal bases.
Die Geschenkkomponente muß jedoch aus den genannten Gründen gestrichen werden.	What we are most concerned about here is ensuring that the budgetary control stipulations are adhered to.
Des weiteren möchte ich bei der Kommission darauf drängen, daß die bilateralen Geber Tadschikistans und die Mitgliedstaaten aufgefordert werden, diesem Land individuell besondere Hilfe zukommen zu lassen.	Of course, we must also realise that the grants that are provided must be made conditional on orderly elections taking place.
Der Haushaltsspielraum der einzelnen Mitgliedstaaten ist in politischer Hinsicht nämlich weniger sensibel.	Elections are prospectively set for March 2000 and what we are concerned about is giving Tajikistan the incentive to push democracy through.
Abschließend möchte ich die Kommission dringend bitten, die Projekte für Tadschikistan aus dem TACIS-Programm aus moralischen Überlegungen so schnell wie möglich wieder aufzunehmen.	It is important from the point of view of the people for disputes not to be dealt with on the streets or in a civil war but in the parliaments between the different groups playing by the same rules.
Dabei müssen wir streng darauf achten, daß das Geld auch die Zielgruppe erreicht, nämlich die tadschikische Bevölkerung, denn sie leidet unter bitterer Armut.	I believe that Europe could serve as a very useful model for all the regions in question, with a view to achieving a functioning market economy, that is to say a socio-economic market economy, establishing democratic conditions and seeing to it that the citizen can rest assured that conflicts will be dealt with in the parliaments and that there will be security, and I believe that we need to export our concept of security rather than import crime from these countries.
Herr Präsident, wir haben gestern den Haushalt beschlossen, und Sie haben hier in der Kategorie 4 Schritte beschlossen, die für die Zukunft Europas sehr wichtig sind.	Whilst we might well feel ourselves to be secure here in this Parliament, in fact four women were murdered a few days ago in the vicinity of Strasbourg.
Frau Kommissarin, wir sprechen heute über eine Sonderhilfe, die im Kern dazu dient, die Stabilisierung eines Teils der Welt voranzutreiben, der, wenn wir uns dort nicht engagieren, auch uns Probleme machen könnte.	So even if we suppose ourselves to be secure, we should still not let a single day pass without ensuring people' s security in their daily lives, both in Europe and in countries such as Armenia and Georgia.
Wir haben in Tadschikistan, Armenien und Georgien dafür zu sorgen, daß dort die Demokratie, die Marktwirtschaft und auch Sicherheitskomponenten in Zukunft mehr Bedeutung bekommen.	I would therefore like to conclude by extending my sincere thanks to all my fellow MEPs and also people that I work alongside, because it is quite evident that we are more than willing to take on responsibilities outside Europe and that we worry about peace in this world.
Wir hatten während des Bürgerkriegs eine starke Hyperinflation in Tadschikistan, die Produktion des Landes ist um zwei Drittel gesunken.	That is why I was particularly delighted that we were able to hand our President the Bethlehem light of peace yesterday.
Man muß sich vorstellen, was das für die einzelne Familie, für den einzelnen Menschen eines solchen Landes heißt.	I hope that peace will be with us over the Christmas period and that we also have before us the prospect of living in peace in the new millennium.
Im Jahr 1997 hat es erstmals wieder ein Wirtschaftswachstum von 1,7 % gegeben.	Mr President, were it not for the people of Tajikistan I would not be standing here today.
Das gesamtwirtschaftliche Wachstum der Produktion betrug 5,3 %; Ausgangspunkt war natürlich, wie ich schon erwähnt habe, eine sehr niedrige Basis.	During the First World War, in 1916, my grandfather was a prisoner of war working on the railways in what used to be Russia-Central Asia, and he has often told me that he was only able to survive these difficult years on account of the hospitality and helpfulness of the people of Tajikistan.
Im Dezember 98 ging dann die Inflation auf unter 3 % zurück, also auch hier war eine gewisse Stabilisierung zu sehen, und im Jahr 98 verbesserte sich auch die Leistungsbilanz von 5,5 auf immerhin 15,2 % des Bruttoinlandsprodukts.	But this is not why I am so keen to support Tajikistan' s cause, rather, unlike Mr Blokland, I believe that it is an issue that is of direct concern to us.
Der Schuldenstand mit 1.263 Millionen US$ bzw. 98 % des BIP ist natürlich ein großes Problem; man sieht, daß hier die Grenze erreicht ist.	Tajikistan is situated in an area enclosed by China and Russia, which are at odds in this region, and by the Islamic world and the Caspian Sea, where there are immense deposits of raw materials.
Da Tadschikistan das ärmste Land der Neuen Unabhängigen Staaten ist, gilt es für uns, dort die Armut zu bekämpfen, die Armut, die die Kinder und die einzelnen Familien trifft, und gerade jetzt in der Vorweihnachtszeit sollten wir, die im Wohlstand leben, auch an jene denken, denen es nicht so gut geht wie uns heute.	In my view, this region represents the Balkans of the future, a Balkans in microcosm, and that is why it is in our vital interest, particularly as a number of nuclear powers are established there, to stabilise this region and prevent ethnic conflicts taking place there from having an impact on the entire world.
Deshalb glaube ich, ist es auch notwendig, daß wir klar definierte und an Bedingungen geknüpfte Programme haben, und daß die Nutzung dieser Programme natürlich auf bestehenden Rechtsgrundlagen erfolgen muß.	That is why I believe that we need to help Tajikistan on its difficult way ahead by providing it with a loan, but also with outright grants, it being clear, in this respect, that we will have to call upon the Member States as our own budget will not accommodate this.
Hier geht es uns vor allem darum, daß die Haushaltskontrollvorschriften eingehalten werden müssen.	Of course, we must demand democracy and the rule of law but, at the same time, we must not apply uncalled-for standards.
Ferner ist festzustellen, daß natürlich die Zuschüsse, die gegeben werden, auch damit in Verbindung gebracht werden müssen, daß dort ordnungsgemäße Wahlen stattfinden.	For centuries, Tajikistan was subjected to colonial exploitation and for eighty years it was brutally suppressed by Soviet Communism.
Es werden im März 2000 voraussichtlich Wahlen stattfinden, und für uns geht es ja darum, auch Anreize zu schaffen, daß sich die Demokratie dort durchsetzt.	Today this small mountain race is making its way with difficulty and must not be made subject to European standards.
Es ist für die Menschen wichtig, daß Streitigkeiten nicht auf der Straße, nicht im Bürgerkrieg ausgetragen werden, sondern in den Parlamenten zwischen den verschiedenen Gruppen, und das mit gemeinsamen Spielregeln.	We must apply the same standards that we apply to developing countries; after all, we have been supporting the countries of Africa on the road to democracy for decades now, and the situation there still leaves much to be desired.
Ich glaube, daß unser Modell Europa für die ganze dortige Region von großem Nutzen sein könnte, nämlich daß die Marktwirtschaft funktioniert, die ökosoziale Marktwirtschaft, daß wir dort demokratische Verhältnisse bekommen, so daß sich der Bürger sicher sein kann, daß die Konflikte in den Parlamenten ausgetragen werden und daß es Sicherheit gibt, und ich glaube, wir sollten unsere Sicherheitskonzepte exportieren und nicht Kriminalität aus diesen Ländern importieren.	We have only been supporting Tajikistan for a few years now.
Selbst wenn wir uns hier im Parlament heute sicher fühlen, so hat es doch vor wenigen Tagen auch hier in der Umgebung von Straßburg vier Morde an Frauen gegeben.	Therefore, whilst we must demand certain rules of the game, we must also be patient towards the people of Tajikistan, heavily promote the elections to take place in the spring and recognise that this is not just an act that will do honour to Europe, rather it is in Europe' s own best interests to bring peace to this region.
Auch wenn wir uns also in Sicherheit wähnen, gilt es trotzdem tagtäglich in Europa und in diesen Ländern, wie Armenien und Georgien, für die tägliche Sicherheit der Bevölkerung zu sorgen.	Mr President, Commissioner, the European Union has set itself four major objectives.
Deshalb möchte ich mich zum Schluß recht herzlich bei allen Mitarbeitern des Hauses bedanken und auch bei den Kollegen, weil man sieht, daß wir auch gerne bereit sind, Verantwortung außerhalb Europas zu übernehmen, daß wir uns Gedanken machen um den Frieden in dieser Welt.	Firstly, the necessary reforms within the institutions and the EU Member States.
Deshalb ist es mir auch eine besondere Freude, daß wir gestern unserer Präsidentin das Friedenslicht aus Bethlehem überreichen konnten.	Secondly, the enlargement of the European Union of the 15 and the associated discussion about the borders of Europe and the European Union, which we demanded, and which has been taken up by President Prodi.
Ich hoffe, daß uns dieser Frieden in der Weihnachtszeit begleitet und wir eine Chance haben, auch im neuen Jahrtausend in Frieden zu leben!	Thirdly, the role of a self-assured, dynamic European Union in the world.
Herr Präsident!	Fourthly, boosting public confidence in the realisation of these goals and in our work.
Wenn es das tadschikische Volk nicht gäbe, dann stünde ich heute nicht hier!	Extending a special financial aid package to Tajikistan is part of the growing responsibility we have for the democratic and peaceful development of world politics based on the recognition of human rights.
Mein Großvater war als Kriegsgefangener im Ersten Weltkrieg 1916 im damaligen Russisch-Zentralasien zum Eisenbahnbau.	The extraordinary financial aid package for Armenia and Georgia adopted on 17 November 1997 also allowed for the possibility of providing Tajikistan with a similar aid package, as soon as this country - to amplify the comments made by Paul Rübig - reaches agreement with the IMF.
Und er hat mir immer erzählt, daß er diese schweren Jahre nur aufgrund der Gastfreundschaft und Hilfsbereitschaft des tadschikischen Volkes überlebt hat.	This agreement is now in place.
Dies ist aber nicht der Grund, warum ich mich heute so für Tadschikistan einsetze, sondern im Gegensatz zum Kollegen Blokland bin ich schon der Meinung, daß das eine Frage ist, die uns unmittelbar angeht.	Following two emergency loans, which were granted after the conflict in December 1997 and April 1998, the IMF approved a three-year programme for Tajikistan worth USD 128 million in June 1998, in order to consolidate the stabilisation successes and achieve sustained growth.
Tadschikistan liegt in einem Raum, der eingegrenzt wird von China und Rußland, die dort zusammenstoßen, der islamischen Welt und dem Kaspischen Meer, wo gewaltige Rohstoffvorkommen sind.	In addition, on 11 December 1998, on the initiative of the IMF and the World Bank, a meeting of the Consultative Group was called in order to improve access to the financial facilities that these institutions provide for the benefit of Tajikistan and other Newly Independent States particularly hard hit by the external effects of the Russian crisis.
Meines Erachtens ist dieser Raum der Balkan der Zukunft, ein Balkan im Weltmaßstab.	That is why it is right and proper, for the sake of our own needs, but also of our responsibility on the world political scene, which will undoubtedly increase, to lend our support to this report, together with the amendments today.
Und deshalb ist es unser Lebensinteresse, zumal dort auch eine Reihe von Atommächten angesiedelt ist, diesen Raum zu stabilisieren und zu verhindern, daß sich ethnische Konflikte dort auf die ganze Welt auswirken.	Finally, permit me, as I am the last speaker and also as I am a newcomer amongst the last speakers in this Parliament, to provide a little more food for thought.
Deshalb glaube ich, daß es notwendig ist, Tadschikistan auf seinem schweren Weg zu helfen, durch einen Kredit, aber auch durch verlorene Zuschüsse, wobei klar ist, daß wir uns deshalb an die Mitgliedstaaten wenden müssen, weil dies unser Haushalt nicht hergibt.	Firstly, I would just like to make clear, and I believe I am expressing exactly what many people feel here, that I am pleased, that we are pleased, to be able to participate in this process here in this Parliament.
Wir sollten natürlich Demokratie und Rechtsstaatlichkeit einfordern, aber wir sollten auch keine ungerechten Maßstäbe anlegen.	Secondly, although we know where there is still room for improvement, we are doing sound work that is growing in importance.
Tadschikistan wurde jahrhundertelang kolonial ausgeplündert.	We can only do this work, however, because we are accompanied and supported by competent, committed, reliable colleagues and parliamentary employees in our groups and in our committees as well as in the course of everyday parliamentary life.
Es wurde 80 Jahre lang vom Sowjet-Kommunismus brutal unterdrückt.	Thank you to all those who support us and assist us in our work!
Heute geht dieses kleine Bergvolk mühsam seinen Weg, und da können wir nicht europäische Maßstäbe anlegen.	I would like to express two further wishes, since we are fast approaching Christmas.
Da müssen wir Maßstäbe anlegen wie bei Entwicklungsländern, wobei auch die Länder Afrikas, wo es noch viel zu beklagen gibt, immerhin seit Jahrzehnten von uns unterstützt werden auf dem Weg die Demokratie.	Let us make a greater success in the New Year of giving home affairs in the Member States a more European flavour.
Tadschikistan wird erst seit wenigen Jahren unterstützt.	Let us make a greater success in the New Year of fixing our work in the consciousness of the Member States and of the citizens.
Deshalb müssen wir natürlich Spielregeln einfordern, aber wir sollten Geduld haben mit dem tadschikischen Volk, wir sollten die Wahlen im Frühling massiv fördern und wir sollten erkennen, daß dies nicht nur eine Tat ist, die Europa zur Ehre gereicht, sondern daß es auch im ureigensten Interesse Europas ist, für Frieden in dieser Region zu sorgen.	On behalf of my group I would like to wish all those with whom I work and my fellow parliamentarians a Happy Christmas!
Herr Präsident, Frau Kommissarin, meine sehr geehrten Damen und Herren!	(Applause)
Die Europäische Union hat sich vier große Ziele gesetzt.	Mr President, ladies and gentlemen, first of all, a warm thank you to rapporteur Savary.
Erstens: Die notwendigen Reformen innerhalb der Institutionen und der Mitgliedstaaten der EU.	The Commission is very pleased to note that its proposal to grant exceptional financial aid to Tajikistan has obtained wholehearted support from Parliament' s relevant committee.
Zweitens: Die Erweiterung der Europäischen Union der 15 und die damit verbundene, von uns geforderte und von Präsident Prodi aufgegriffene Diskussion über die Grenzen Europas und der Europäischen Union.	The Commission is supporting quite a lot of the proposed amendments, especially those relating to stricter Budget supervision (given the possibility of retrograde political developments in the country) and is also supporting the proposal that a final report should be delivered to Parliament in the year 2004.
Drittens: Die Rolle einer selbstbewußten dynamischen Europäischen Union in der Welt.	The Commission cannot, however, accept the proposals regarding that part of the aid relating to subsidies.
Viertens: Die Stärkung des Vertrauens der Bürger in die Verwirklichung dieser Ziele und in unsere Arbeit.	It is impossible to implement this part relating to subsidies on existing legal bases, especially TACIS, because the resources included in the aid cannot be related to special projects or programmes.
Die Einbeziehung von Tadschikistan in eine Sonderfinanzhilfe gehört zu dieser unserer wachsenden Verantwortung für eine demokratische, friedliche, auf der Akzeptanz der Menschenrechte basierende weltpolitische Entwicklung.	The aim is in fact to reduce the country' s debt towards the Community.
Die am 17. November 1997 angenommene außerordentliche Finanzhilfe an Armenien und Georgien beinhaltete auch die Möglichkeit einer ähnlichen Hilfe für Tadschikistan, sobald dieses Land - ergänzend zu den Bemerkungen von Paul Rübig - zu einer Einigung mit dem IWF gekommen ist.	This proposal is also aimed at confirming the subsidy of EUR 95 million available to Armenia and Georgia in accordance with Council Decision 97/787/EC of 17 November 1997.
Diese Einigung mit dem Internationalen Währungsfonds ist gegeben.	The Commission finds it difficult to accept a reduction of the subsidy to EUR 50 million.
Nach zwei Sofortkrediten, die nach dem Konflikt im Dezember 1997 und April 1998 gewährt wurden, bewilligte der IWF im Juni 1998 ein dreijähriges Programm zugunsten Tadschikistans im Gegenwert von 128 Millionen US-Dollar, um die Stabilisierungserfolge zu festigen und ein nachhaltiges Wachstum zu erreichen.	The reasons for this are as follows.
Ferner wurde am 11. Dezember 1998 auf Initiative des IWF und der Weltbank eine Sitzung der Beratenden Gruppe einberufen, um den Zugang zu den Finanzierungsfazilitäten, die diese Institutionen zugunsten von Tadschikistan und anderen, von den externen Effekten der Rußlandkrise besonders betroffenen NUS anbieten, zu verbessern.	The Community' s financial exposure will continue to be high in an area whose stability has deteriorated, both because of the Russian financial crisis and the current situation in the northern Caucasus.
Daher ist es gut und richtig, im Sinne unserer Bedingungen, aber auch unserer weltpolitischen Verantwortung, die zweifelsohne zunehmen wird, dem Bericht heute unsere Zustimmung mit den Abänderungen zu geben.	A significant reduction in the EU' s exposure has already been achieved, with the figure concerned going down from EUR 212 million initially, including interest on outstanding debts, to EUR 123 million at present.
Lassen Sie mich zum Schluß, weil ich der letzte Redner bin, und weil ich auch neu unter den letzten Rednern in diesem Parlament bin, noch ein paar Gedanken einbringen.	A further reduction may, however, occur over the next few years if the aid is implemented as planned.
Erstens: Ich möchte einmal deutlich aussprechen, und ich glaube, daß ich vielen aus der Seele spreche, daß ich froh bin, daß wir froh sind, hier in diesem Parlament an diesem Prozeß mitarbeiten zu dürfen.	Armenia and Georgia will have difficulty understanding the fact that the Community is reducing its aid, in spite of the major efforts which these two countries, with support from the IMF and other contributors, have made to reduce their financial liabilities towards the Community.
Zweitens: Obwohl wir wissen, was alles zu verbessern ist, leisten wir hier gute und zunehmend wichtige Arbeit.	This would put the Community in a difficult situation regarding both these two countries and the international community.
Wir können diese Arbeit aber nur leisten, weil wir in unseren Büros, in unseren Fraktionen, in den Ausschüssen sowie im parlamentarischen Alltag von kompetenten, engagierten, verläßlichen Mitarbeitern und Parlamentsangestellten begleitet und unterstützt werden.	The Commission considers that it would be unfortunate if the Community were to refuse to confirm its financial aid to countries whose strategic importance to the Community is obvious.
Danke an alle, die hinter uns stehen und uns bei unserer Arbeit helfen!	Moreover, we ought, in the light of the present difficulties in the Caucasus, to send out political signals indicating that we want to continue to support the considerable efforts which are being made to achieve stabilisation and democracy, as well as to introduce reforms.
Ich möchte noch zwei Wünsche äußern, weil wir vor Weihnachten stehen: Möge es uns im neuen Jahr besser gelingen, die Innenpolitik in den Mitgliedstaaten zu europäisieren.	The debate is closed.
Möge es uns im neuen Jahr besser gelingen, unsere Arbeit im Bewußtsein der Mitgliedstaaten und der Bürger zu verankern.	We shall now proceed to the vote.
Im Namen meiner Fraktion möchte ich allen Mitarbeitern und parlamentarischen Kollegen ein frohes Weihnachtsfest wünschen!	Following the vote on the amendments
(Beifall)	Mr President, after the voting, I would like to raise a point of order concerning the texts adopted yesterday.
Herr Präsident, sehr geehrte Abgeordnete!	If you would allow me, I would like to take up a few minutes after the votes.
Zuerst möchte ich dem Berichterstatter Herrn Savary meinen herzlichen Dank aussprechen.	You may do so.
Die Kommission hat mit Freude wahrgenommen, daß sein Vorschlag zur Bewilligung einer Sonderfinanzhilfe für Tadschikistan voll und ganz vom Parlamentsausschuß unterstützt wird.	(Parliament approved the legislative resolution) EXPLANATIONS OF VOTE
Mehrere der beantragten Änderungen werden von der Kommission unterstützt, insbesondere diejenigen, die eine strengere Haushaltskontrolle im Hinblick auf eine möglicherweise negative politische Entwicklung im Land befürworten sowie auch der Vorschlag eines im Jahr 2004 dem Parlament vorzulegenden abschließenden Berichts.	Mr President, I would like to say how pleased I am to give this last explanation of vote of 1999 on the Savary report, which I voted for.
Die Kommission kann jedoch dem Änderungsantrag im Hinblick auf die Zuschußkomponente der Finanzhilfe nicht zustimmen.	I am very much in favour of this European Community initiative which aims to grant practical aid to the most deserving regions, such as Tajikistan.
Diese Zuschußkomponente kann aufgrund der bestehenden Rechtsgrundlagen, insbesondere des TACIS-Programms, nicht gewährt werden, weil die Mittel der Finanzhilfe nicht zu bestimmten Projekten oder Programmen in Beziehung gesetzt werden können.	I would like, as Mr Blokland said in his statement, to say to Commissioner Wallström - who is disturbing the sleep of Italian, Greek and Spanish pensioners because of superannuated cars which have to be quickly taken off the roads - that I would appreciate verification as to how the aid is distributed once it has been granted to Tajikistan and other States.
